Filename,f_measure
simu_naive_2snp_0_5_99genos.txt,0.5
simu_naive_2snp_0_5_5genos.txt,0.5
simu_naive_2snp_0_5_69genos.txt,0.5
simu_naive_2snp_0_5_92genos.txt,0.5
simu_naive_2snp_0_5_41genos.txt,0.5
simu_naive_2snp_0_5_9genos.txt,0.5
simu_naive_2snp_0_5_94genos.txt,0.5
simu_naive_2snp_0_5_98genos.txt,0.5
simu_naive_2snp_0_5_19genos.txt,0.5
simu_naive_2snp_0_5_88genos.txt,0.5
simu_naive_2snp_0_5_79genos.txt,0.5
simu_naive_2snp_0_5_27genos.txt,0.5
simu_naive_2snp_0_5_85genos.txt,0.5
simu_naive_2snp_0_5_60genos.txt,0.5
simu_naive_2snp_0_5_81genos.txt,0.5
simu_naive_2snp_0_5_24genos.txt,0.5
simu_naive_2snp_0_5_71genos.txt,0.5
simu_naive_2snp_0_5_34genos.txt,0.5
simu_naive_2snp_0_5_1genos.txt,0.5
simu_naive_2snp_0_5_46genos.txt,0.5
simu_naive_2snp_0_5_2genos.txt,0.5
simu_naive_2snp_0_5_15genos.txt,0.5
simu_naive_2snp_0_5_25genos.txt,0.5
simu_naive_2snp_0_5_78genos.txt,0.5
simu_naive_2snp_0_5_73genos.txt,0.5
simu_naive_2snp_0_5_26genos.txt,0.5
simu_naive_2snp_0_5_62genos.txt,0.5
simu_naive_2snp_0_5_18genos.txt,0.5
simu_naive_2snp_0_5_48genos.txt,0.5
simu_naive_2snp_0_5_4genos.txt,0.5
simu_naive_2snp_0_5_91genos.txt,0.5
simu_naive_2snp_0_5_49genos.txt,0.5
simu_naive_2snp_0_5_76genos.txt,0.5
simu_naive_2snp_0_5_100genos.txt,0.5
simu_naive_2snp_0_5_22genos.txt,0.5
simu_naive_2snp_0_5_30genos.txt,0.5
simu_naive_2snp_0_5_56genos.txt,0.5
simu_naive_2snp_0_5_89genos.txt,0.5
simu_naive_2snp_0_5_32genos.txt,0.5
simu_naive_2snp_0_5_57genos.txt,0.5
simu_naive_2snp_0_5_74genos.txt,0.5
simu_naive_2snp_0_5_47genos.txt,0.5
simu_naive_2snp_0_5_87genos.txt,0.5
simu_naive_2snp_0_5_3genos.txt,0.5
simu_naive_2snp_0_5_55genos.txt,0.5
simu_naive_2snp_0_5_42genos.txt,0.5
simu_naive_2snp_0_5_63genos.txt,0.5
simu_naive_2snp_0_5_86genos.txt,0.5
simu_naive_2snp_0_5_35genos.txt,0.5
simu_naive_2snp_0_5_12genos.txt,0.5
simu_naive_2snp_0_5_44genos.txt,0.5
simu_naive_2snp_0_5_39genos.txt,0.5
simu_naive_2snp_0_5_64genos.txt,0.5
simu_naive_2snp_0_5_17genos.txt,0.5
simu_naive_2snp_0_5_20genos.txt,0.5
simu_naive_2snp_0_5_84genos.txt,0.5
simu_naive_2snp_0_5_72genos.txt,0.5
simu_naive_2snp_0_5_14genos.txt,0.5
simu_naive_2snp_0_5_83genos.txt,0.5
simu_naive_2snp_0_5_36genos.txt,0.5
simu_naive_2snp_0_5_38genos.txt,0.5
simu_naive_2snp_0_5_77genos.txt,0.5
simu_naive_2snp_0_5_61genos.txt,0.5
simu_naive_2snp_0_5_37genos.txt,0.5
simu_naive_2snp_0_5_31genos.txt,0.5
simu_naive_2snp_0_5_54genos.txt,0.5
simu_naive_2snp_0_5_75genos.txt,0.5
simu_naive_2snp_0_5_16genos.txt,0.5
simu_naive_2snp_0_5_67genos.txt,0.5
simu_naive_2snp_0_5_33genos.txt,0.5
simu_naive_2snp_0_5_97genos.txt,0.5
simu_naive_2snp_0_5_52genos.txt,0.5
simu_naive_2snp_0_5_53genos.txt,0.5
simu_naive_2snp_0_5_65genos.txt,0.5
simu_naive_2snp_0_5_28genos.txt,0.5
simu_naive_2snp_0_5_93genos.txt,0.5
simu_naive_2snp_0_5_95genos.txt,0.5
simu_naive_2snp_0_5_21genos.txt,0.5
simu_naive_2snp_0_5_40genos.txt,0.5
simu_naive_2snp_0_5_82genos.txt,0.5
simu_naive_2snp_0_5_80genos.txt,0.5
simu_naive_2snp_0_5_43genos.txt,0.5
simu_naive_2snp_0_5_8genos.txt,0.5
simu_naive_2snp_0_5_68genos.txt,0.5
simu_naive_2snp_0_5_58genos.txt,0.5
simu_naive_2snp_0_5_50genos.txt,0.5
simu_naive_2snp_0_5_90genos.txt,0.5
simu_naive_2snp_0_5_96genos.txt,0.5
simu_naive_2snp_0_5_7genos.txt,0.5
simu_naive_2snp_0_5_11genos.txt,0.5
simu_naive_2snp_0_5_59genos.txt,0.5
simu_naive_2snp_0_5_66genos.txt,0.5
simu_naive_2snp_0_5_51genos.txt,0.5
simu_naive_2snp_0_5_13genos.txt,0.5
simu_naive_2snp_0_5_70genos.txt,0.5
simu_naive_2snp_0_5_10genos.txt,0.5
simu_naive_2snp_0_5_6genos.txt,0.5
simu_naive_2snp_0_5_45genos.txt,0.5
simu_naive_2snp_0_5_23genos.txt,0.5
simu_naive_2snp_0_5_29genos.txt,0.5
